 Skip Material Transfer to WIP Warehouse,تخطي نقل المواد إلى مخزن تحت التشغيل,
%  Delivered,٪ المسلَّم,
% Amount Billed,٪ المبلغ المفوتر,
% Complete Method,طريقة الإكتمال %,
% Installed,٪ المركَّب,
% Picked,٪ المجهَّز,
A Lead with this Email Address should exist,يجب وجود عميل محتمل بهذا البريد الإلكتروني,
AMC Expiry Date,تاريخ إنتهاء عقد الصيانة السنوي,
About,نبذة,
Absent,غائب,
Accepted Quantity,الكمية المقبولة,
Accepted Warehouse,مخزن الأصناف المقبولة,
Account,الحساب,
Account Currency (From),عملة الحساب (من),
Account Currency (To),عملة الحساب (إلى),
Account Head,الحساب الرئيسي,
Account Manager,مدير الحساب,
Account Paid From,الحساب المدفوع منه,
Account Paid To,الحساب المدفوع إليه,
Account for Change Amount,حساب مبلغ الباقي,
Accountant,محاسب,
Accounting,الحسابات,
Accounting Details,تفاصيل محاسبية,
Accounting Dimension,الابعاد المحاسبية,
Accounting Entries,القيود المحاسبية,
Accounting Masters,الاعدادات الاساسية,
Accounts,الحسابات,
Accounts - E,الحسابات ,
Accounts Closing,اقفالات الحسابات,
Accounts Payable,الحسابات الدائنة,
Accounts Receivable,الحسابات المدينة,
"Accounts, Invoices, Taxation, and more.",الحسابات والفواتير والضرائب وغيرها.,
Accumulated Depreciation,مجمع الإهلاك,
Accumulated Depreciation - ES,الاستهلاك المتراكم,
Accumulated Depreciation Account,حساب مجمع الإهلاك,
Accumulated Depreciation Amount,قيمة مجمع الإهلاك,
Actual Time (in hours),الوقت الفعلي (بالساعات),
Add Child,إضافة فرع,
Add a comment,اضافة تعليق,
Additional Discount Amount,قيمة الخصم الاضافي,
Additional Discount Amount (Company Currency),مبلغ الخصم الإضافي (بعملة الشركة),
Additional Discount Percentage,نسبة الخصم الإضافي,
Additional Information,معلومات إضافية,
Additional information regarding the customer.,معلومات إضافية عن العميل,
Address And Contacts,العناوين وجهات الاتصال,
Address Line 1,العنوان 1,
Address Line 2,العنوان 2,
Address Name,العنوان,
Address and Contact,العنوان وجهة الاتصال,
Address and Contacts,العناوين وجهات الاتصال,
Administrative Officer,مسؤول إداري,
Advance Paid,الدفعة المقدمة المسددة,
Advance Paid (Company Currency),الدفعة المقدمة المسددة (عملة الشركة),
Advance Taxes and Charges,ضرائب ورسوم الدفعات المقدمة,
Advance Voucher No,رقم سند الدفعة المقدمة,
Advance Voucher Type,نوع سند الدفعة المقدمة,
Advance amount,المبلغ المقدم,
Advances,الدفعات المقدمة,
Against Blanket Order,مقابل اتفاقية إطارية,
Against Income Account,مقابل حساب الإيراد,
Ageing Range 1,النطاق العمرى 1,
Ageing Range 2,النطاق العمرى 2,
Ageing Range 3,النطاق العمرى 3,
Ageing Range 4,النطاق العمرى 4,
Agent,وكيل,
Alias,اسم مختصر,
All Lead (Open),جميع العملاء المحتملين (مفتوح),
Allocate Advances Automatically (FIFO),تخصيص الدفعات المقدمة تلقائيا (FIFO),
Allocated Amount,المبلغ المخصص,
Allow Item to be added multiple times in a transaction,السماح بإضافة الصنف أكثر من مرة في المعاملة,
Allow Monthly Depreciation,السماح بالإهلاك شهريا,
Allow Multiple Material Consumption,السماح بصرف الخامات المطلوبة اكثر من مرة ,
Allow Overtime,السماح بساعات العمل الإضافية,
Allow Production on Holidays,السماح بالإنتاج خلال العطلات,
Allow Purchase Invoice Creation Without Purchase Order,السماح بإنشاء فاتورة مشتريات بدون أمر شراء,
Allow Purchase Invoice Creation Without Purchase Receipt,السماح بإنشاء فاتورة مشتريات بدون إذن إستلام مشتريات,
Allow Rename Attribute Value,السماح بإعادة تسمية قيمة المواصفة,
Allow Sales Invoice Creation Without Delivery Note,السماح بإنشاء فاتورة المبيعات بدون إذن تسليم العميل,
Allow Sales Invoice Creation Without Sales Order,السماح بإنشاء فاتورة المبيعات بدون أمر بيع,
Allow Sending Usage Data for Improving Applications,السماح بارسال سجل التغييرات لتحسين النظام,
Allow Zero Valuation Rate,السماح بقيمة صفر للتكلفة,
Allow existing Serial No to be Manufactured/Received again,السماح بتصنيع / استلام الرقم التسلسلي الحالي مرة أخرى,
Allow multi-currency invoices against single party account,السماح بفواتير متعددة العميلات مقابل حساب طرف واحد,
Allow multiple Material Consumption against a Work Order,السماح المتعدد بإستهلاك المواد لكل أمر الإنتاج,
Allow multiple Sales Orders against a Customer's Purchase Order,السماح بعدة أوامر بيع لنفس أمر شراء العميل,
Allow purchase invoice creation without purchase order,السماح بإنشاء فاتورة شراء بدون أمر شراء,
Allow purchase invoice creation without purchase receipt,السماح بإنشاء فاتورة شراء بدون إيصال استلام,
Allow sales invoice creation without delivery note,السماح بإنشاء فاتورة بيع بدون إشعار تسليم,
Allow sales invoice creation without sales order,السماح بإنشاء فاتورة بيع بدون أمر بيع,
Allow user to edit Price List Rate in transactions,السماح للمستخدم بتعديل سعر قائمة الأسعار في المعاملات,
Allowance,مخصص,
Allowed to transact with,مسموح بالتعامل مع,
Alternative Item Code,كود الصنف البديل,
Amended From,معدَّلة من,
Amount,المبلغ,
Amount After Depreciation,القيمة بعد الإهلاك,
Amount Eligible for Commission,المبلغ الخاضع للعمولة,
Analyst,المحلل,
Annual Salary,الراتب السنوي,
Applicable for Countries,تنطبق على الدول,
Applicant-Wise Loan Security Exposure,مخاطر القرض حسب مقدم الطلب,
Apply Additional Discount On,تطبيق الخصم الإضافي على,
Apply Multiple Pricing Rules,تطبيق شروط تسعير متعددة,
Apply Rule On Brand,تطبيق الشرط على العلامة التجارية,
Apply Rule On Item Code,تطبيق الشرط على كود الصنف,
Apply Rule On Item Group,تطبيق الشرط على مجموعة الصنف,
Apply Rule On Other,تطبيق الشرط أيضا على,
Appraisal Template,نموذج التقيم ,
Apprentice,مبتدئ,
Arrear,متأخر,
As per Stock UOM,وفقا لوحدة قياس المخزون,
Asset,الأصل,
Asset Capitalization,رسملة الأصل,
Asset Depreciation Ledger,سجل إهلاك الأصول,
Asset Depreciations and Balances,إهلاك الأصول والأرصدة,
Asset Name,اسم الأصل,
Asset Owner,مالك الأصل,
Assets,الأصول,
Assets Location,تقرير مواقع الأصول,
Assign to Name,تكليف إلى,
Assignment based on,تحديد الأجازة على أساس,
Associate,مساعد,
Attribute,المواصفة,
Attribute Name,اسم المواصفة,
Attribute Value,قيمة المواصفة,
Auto Create Assets on Purchase,إنشاء الأصل تلقائيا عند الشراء,
Auto Insert Item Price If Missing,ادراج سعر الصنف تلقائيا اذا كان مفقودا,
Auto Reconcile Payments,تسوية المدفوعات بشكل تلقائي,
Auto Repeat,التكرار التلقائي,
Auto close Issue after 7 days,إغلاق تلقائي للتذكرة بعد 7 أيام,
Automatically Fetch Payment Terms from Order,جلب شروط الدفع تلقائيا من الطلب,
Automatically Set Serial Nos based on FIFO,تحديد الأرقام التسلسلية بناء على FIFO تلقائيا,
Available Batch Qty at From Warehouse,كمية الدفعة المتاحة في مستودع الصرف,
Available Batch Qty at Warehouse,كمية التشغيلة المتاحة بالمخزن,
Available QTY,الكمية المتاحة,
Available Qty at From Warehouse,الكمية المتوفرة في المخزن (المصدر),
Available Qty at Target Warehouse,الكمية المتاحة في المستودع المستهدف,
Available Qty at Warehouse,الكمية المتاحة في المخزن,
Available Stock for Packing Items,المخزون المتاح للأصناف المعبأة,
Average Commission Rate,متوسط نسبة العمولة,
BOM,قائمة مكونات المواد,
BOM 1,قائمة مكونات المواد 1,
BOM 2,قائمة مكونات المواد 2,
BOM Comparison Tool,أداة مقارنة قائمة مكونات المواد,
BOM Info,معلومات قائمة المواد,
BOM No,رقم قائمة مكونات المواد,
BOM Operation,العمليات الانتاجية,
BOM Search,البحث عن قائمة مكونات المواد,
BOM Stock Report,تقير برصيد قوائم مكونات المنتج,
BOM Update Tool,أداة تحديث قائمة مكونات المواد,
Back to sign in,العودة لتسجيل الدخول,
Backflush Raw Materials Based On,اعادة خصم المواد الخام من مخزن تحت التشغيل بناء على,
Backflush Raw Materials From Work-in-Progress Warehouse,إرتجاع المواد الخام من مخزن تحت التشغيل,
Backflush Raw Materials of Subcontract Based On,اعادة خصم مواد التشغيل لدى الغير بناء على,
Balance (EGP),الرصيد,
Balance Qty,الرصيد,
Balance Sheet,الميزانية,
Bank,البنك,
Bank Account,الحساب البنكي,
Bank Account No,رقم الحساب المصرفي,
Bank Draft,حوالة مصرفية,
"Bank Reconciliation Statement_x000D_
",كشف التسويات البنكية,
Bank Reconciliation Tool,أداة تسوية حساب البنك,
Bank Transaction,الحركات البنكية,
Banking and Payments,البنوك و المدفوعات,
Barcode,الباركود,
Base Change Amount (Company Currency),مبلغ الباقي (بعملة الشركة),
Basic,الأساسي,
Basic Info,المعلومات الاساسية,
Batch,الباتش,
Batch Item Expiry Status,حالة إنتهاء باتش الصنف,
Batch No,رقم الباتش,
Batch No!,رقم الباتش,
Batch-Wise Balance History,أرشيف الرصيد وفقا للباتش,
Begin On (Days),يبدأ خلال (الأيام),
Bill of Materials,قائمة مكونات المواد,
Billed Amount,المبلغ المفوتر,
Billed Amt,المبلغ المفوتر,
"Billed, Received & Returned",المفوتر والمستلم والمرتجع,
Billing Address,عنوان الفوترة,
Billing Address Name,اسم عنوان الفوترة,
Billing Currency,عملة الفواتير,
Billing Hours,عدد الساعات المفوترة,
Blanket Order,اوامر البيع المبدئية,
Blanket Order Rate,سعر امر البيع المبدئي,
Block Supplier,حظر المورد,
Blog Subscriber,مشترك بالمدونة,
Book Advance Payments in Separate Party Account,تسجيل الدفعات المقدمة في حساب طرف منفصل,
Book Tax Loss on Early Payment Discount,سجل خسارة الضريبة على خصم السداد المبكر,
Brand,العلامة التجارية,
Brand Name,اسم العلامة التجارية,
Breakdown,مفصلة,
Budget,الموازنة,
Build,تصميم,
Buildings - ES,المباني ,
Business Development Manager,مدير تطوير الأعمال,
Buying,المشتريات,
Buying Settings,إعدادات المشتريات,
Bypass Credit Limit Check,تجاوز الحد الائتماني,
CEO,المدير التنفيذي,
CONTACT DETAILS,معلومات التواصل,
CRM,إدارة علاقات العملاء,
Cairo,القاهرة,
Calculate Based On,يتم الحساب بناءا على,
Calendar Event,أجندة الحدث,
Campaign,الحملة,
Campaign Naming By,تسمية الحملة ب,
Cancelled,ملغاة,
Capacity Planning For (Days),تخطيط القدرة الانتاجية (بالايام),
Capital Equipments - ES,معدات رأس المال ,
Capital Work In Progress Account,حساب رأس المال الجاري,
Cash,نقد,
Cash Entry,حركة نقدية,
Cash Flow Statement,بيان التدفقات النقدية,
Cash/Bank Account,حساب النقدية/البنك,
Casual Leave,أجازة عارضة,
Certificate,شهادة,
Change Amount,مبلغ الباقي,
Channel Partner,شريك القناة,
Chapter,الفرع,
Chapter Member,عضو الفرع,
Chart Of Accounts,شجرة الحسابات,
Chart of Accounts Importer,استيراد دليل الحسابات,
Check if Asset requires Preventive Maintenance or Calibration,اختر هذا الاختيار في حالة أن الأصل يتطلب الصيانة الوقائية أو المعايرة,
Check if it is a hydroponic unit,اختر هذا الإختيار إذا كانت وحدة مائية,
Check if material transfer entry is not required,اختر هذا الإختيار إذا كانت حركة نقل المواد غير مطلوبة,
Check in (group),المجموعة الأساسية,
Check this if you want to show in website,حدد علامة صح إذا كنت تريد إظهاره بالموقع الإلكتروني,
Check this to disallow fractions. (for Nos),حدد هذا الخيار لعدم السماح بالكسور مع الارقام,
Cheque,شيك,
Cheque/Reference Date,تاريخ الشيك/المرجع,
Cheque/Reference No,رقم الشيك/المرجع,
City,المدينة,
Clearance Date,تاريخ المقاصة,
Close Issue After Days,عدد الأيام التي يتم بعدها إغلاق التذكرة,
Close Opportunity After Days,عدد الأيام التي يتم بعدها إغلاق الفرص,
Closing Account Head,حساب الاغلاق الرئيسي,
Collect Progress,تجميع التقدم,
Commission,عمولة,
Commission Rate (%),نسبة العمولة (%),
Company,شركة,
Company Address Name,عنوان الشركة,
Company Contact Person,مسؤول التواصل بالشركة,
Company Tax ID,رقم التسجيل الضريبي,
Compensations,التعويضات,
Compensatory Off,أجازة تعويضية,
Completed Work Orders,أوامر الإنتاج المكتملة,
Completion Status,حالة الإنجاز,
Connections,روابط,
Consider Tax or Charge for,حساب الضريبة أو الرسم على,
Consider for Tax Withholding,يخضع للاستقطاع الضريبي,
Consumed Qty,الكمية المسنهلكة,
Contact,جهة الاتصال,
Contact Email,البريد الإلكتروني,
Contact Mobile No,رقم الجوال,
Contact Person,مسؤول التواصل,
Content,المحتوى,
Contra Entry,تحويل بين البنوك والنقدية,
Contract Template,نموذج العقد,
Convert Item Description to Clean HTML,تحويل وصف الصنف إلى Clean HTML,
Convert Item Description to Clean HTML in Transactions,تحويل وصف العنصر إلى HTML نظيف في المعاملات,
Converted,محول,
Cost Center,مركز التكلفة,
Cost Center Allocation,تخصيص مراكز التكلفة,
Cost Centers for Budgeting and Analysis,مراكز التكلفة للموازنة والتحليل,
Cost Of Scrapped Asset,تكلفة الأصول الخردة,
Cost of Delivered Items,تكلفة الأصناف التي تم تسليمها,
Cost of Issued Items,تكلفة الأصناف التي تم صرفها,
Cost of Purchased Items,تكلفة الأصناف التي تم شراؤها,
Coupon Code,كود الكوبون,
Coupon Code Based,معتمد على كود الكوبون,
Coupon Description,وصف الكوبون,
Coupon Name,اسم الكوبون,
Create,انشاء ,
Create Ledger Entries for Change Amount,انشاء قيد يومية لقيمة المبلغ المقرب ,
Create Payment Entry,إنشاء سند قبض,
Create Workspace,إنشاء مساحة عمل,
Create Your First Purchase Invoice ,أنشئ أول فاتورة مشتريات,
Created On,انشئ في,
Credit & Overdue Limits,حدود الائتمان والتأخير,
Credit (EGP),دائن,
Credit Card,بطاقة الائتمان,
Credit Card Entry,حركة بطاقة أئتمانية,
Credit Days,ايام الائتمان,
Credit Note,أشعار دائن,
Credit To,دائن إلى,
Credit in Company Currency,الدائن بعملة الشركة,
Criteria Formula,معادلة المعيار,
Criteria Name,اسم المعيار,
Criteria Weight,وزن المعيار,
Currency,العملة,
Currency Exchange,سعر الصرف,
"Currency Exchange_x000D_
",تحويل العملات,
Current BOM,قائمة مكونات المواد الحالية,
Current Status,الحالة الحالية,
Custodian,المسئول,
Custom Remark,ملاحظة مخصصة,
Customer,العميل,
Customer / Lead Address,عنوان (العميل / العميل المحتمل),
Customer Add,العنوان,
Customer ID,رقم العميل,
Customer Items,أصناف العميل,
Customer Ledger Summary,كشف حساب العملاء,
Customer Mob,رقم التليفون,
Customer Naming By,تسمية العميل ب,
Customer POS ID,معرف العميل في نقطة البيع,
Customer Provided,تشغيل للغير,
Customer Service - E,خدمة العملاء,
Customer's Purchase Order,رقم أمر شراء العميل,
Customer's Purchase Order Date,تاريخ أمر شراء العميل,
Customer's Purchase Order No,رقم امر توريد العميل,
Customers Without Any Sales Transactions,عملاء بدون أى حركة مبيعات,
Customization,التخصيص,
DEL DATE,تاريخ التسليم,
Daily Timesheet Summary,ملخص يومي للجداول الزمنية,
Date,التاريخ,
Date of Joining,تاريخ الإلتحاق بالعمل,
Dealer,تاجر,
Debit (EGP),مدين,
